family ,genus,species,hys 2,hysteranthy,flower_size_low,flower_size_high,flos_per_low,flos_per_high,inflor_size_low,inflor_size_high
Rosacease,Amalelancher,nantuckentensis,,1,2,3,6,8,24,36
Rosacease,Amalelancher,arborea,,0,2.3,3.7,6,12,30,55
Rosacease,Amalelancher,sanguinea,,0,2.5,4.1,7,10,30,51
Rosacease,Prunus,nigra,1_0,1,3,4,2,4,,
Rosacease,Prunus,pensylvanica,0,0,2,5,2,5,0,8
Rosacease,Prunus,americana,1_0,1,2.5,5,2,5,,
Rosacease,Prunus,serotina,-1,0,1.5,3,18,55,35,160
Rosacease,Prunus,virginiana,-1,0,1.5,3,18,65,40,110
Rosacease,Prunus,padus,-1,0,2,2.5,15,50,45,150
Rosacease,Prunus,ilicifolia,1,1,2,3,15,40,30,80
Rosacease,Prunus,lusitanica,-1,0,2.5,3.5,18,60,100,280
Rosacease,Prunus,myrtifolia,1,1,1.5,2.5,12,30,20,50
Rosacease,Prunus,caroliniana,1,1,2.5,3,12,30,13,30
Rosacease,Prunus,laurocerasus,1,1,3,4,26,32,55,130
Rosacease,Prunus,armeniaca,1,1,4,6,1,1,,
Rosacease,Prunus,persica,1,1,4,5,1,2,,
Rosacease,Prunus,dulcis,1,1,4,7,1,2,,
Rosacease,Prunus,subcordata,0,0,2,3.5,2,5,,
Rosacease,Prunus,texana,1_0,1,2,2,1,2,,
Rosacease,Prunus,fasciculata,0,0,1.5,3,1,2,,
Rosacease,Prunus,andersonii,0,0,3,4,1,2,,
Rosacease,Prunus,fremontii,0,0,2,4,1,3,,
Rosacease,Prunus,havardii,0,0,2.5,3,1,1,,
Rosacease,Prunus,minutiflora,0,0,2,3,1,1,,
Rosacease,Prunus,eremophila,0,0,2,4,1,2,,
Rosacease,Prunus,pumila,1,1,1.7,3,2,5,,
Rosacease,Prunus,speciosa,0,0,4,8,3,5,5,25
Rosacease,Prunus,yedoensis,1,1,7,8,2,6,4,8
Rosacease,Prunus,subhirtella,1,1,4,7,2,5,,
Rosacease,Prunus,emarginata,0,0,2.5,3,6,12,9,30
Rosacease,Prunus,mahaleb,0,0,2,3,4,10,8,40
Rosacease,Prunus,glandulosa,0,0,2,3,1,2,,
Rosacease,Prunus,avium,0,0,5,7,1,3,,
Rosacease,Prunus,cerasus,0,0,4,6,1,4,,
Rosacease,Prunus,mexicana,1,1,2,4.5,2,5,,
Rosacease,Prunus,umbellata,1_0,1,2,4,2,4,,
Rosacease,Prunus,maritima,1,1,2.5,3.5,2,4,,
Rosacease,Prunus,gracilis,1_0,1,2,3,2,4,,
Rosacease,Prunus,spinosa,1,1,1.5,2.5,1,2,,
Rosacease,Prunus,geniculata,1,1,2,3,1,1,,
Rosacease,Prunus,murrayana,0,0,2,2.5,1,4,,
Rosacease,Prunus,domestica,1_0,1,3,5,1,2,,
Rosacease,Prunus,angustifolia,1_0,1,1.5,3,2,4,,
Rosacease,Prunus,rivulis,1_0,1,2,3,2,4,,
Rosacease,Prunus,hortulana,1_0,1,2,3,2,4,,
Rosacease,Prunus,cerasifera,1,1,2,4,1,2,,
Rosacease,Prunus,tomentosa,1_0,1,3.5,6,1,2,,
Ericaceae,Rhododendron,macrophyllum,-1,0,24,48,10,20,,
Ericaceae,Rhododendron,maximum,-1,0,20,36,10,15,,
Ericaceae,Rhododendron,catawbiense,-1,0,27,50,12,20,,
Ericaceae,Rhododendron,minus,1_-1,1,15,37,5,10,,
Ericaceae,Rhododendron,lapponicum,1,1,7.5,14,3,6,,
Ericaceae,Rhododendron,columbianum,-1,0,2,8,10,35,,
Ericaceae,Rhododendron,tomentosum,-1,0,2,8,10,35,,
Ericaceae,Rhododendron,groenlandicum,-1,0,2,8,10,35,,
Ericaceae,Rhododendron,albiflorum,-1,0,9,22,1,2,,
Ericaceae,Rhododendron,canadense,1_0,1,12,22,3,9,,
Ericaceae,Rhododendron,vaseyi,1,1,18,37,5,15,,
Ericaceae,Rhododendron,prunifolium,-1,0,36,54,4,7,,
Ericaceae,Rhododendron,arborescens,-1,0,30,55,3,7,,
Ericaceae,Rhododendron,cumverlandense,-1,0,27,45,3,7,,
Ericaceae,Rhododendron,viscosum,-1,0,20,58,3,14,,
Ericaceae,Rhododendron,eastmanii,-1,0,24,50,5,9,,
Ericaceae,Rhododendron,calendulaceum,1_-1,1,30,54,5,9,,
Ericaceae,Rhododendron,flammeum,1_0,1,27,51,6,11,,
Ericaceae,Rhododendron,austrinum,1_0,1,25,45,9,24,,
Ericaceae,Rhododendron,alabamense,1_0,1,25,42,6,7,,
Ericaceae,Rhododendron,ocidentale,0_-1,0,30,58,3,15,,
Ericaceae,Rhododendron,atlanticum,1_0,1,23,58,4,13,,
Ericaceae,Rhododendron,periclymenoides,1_0,1,23,45,6,15,,
Ericaceae,Rhododendron,canescens,1_0,1,23,46,6,19,,
Ericaceae,Rhododendron,prinophyllum,1_0,1,25,45,4,13,,