"id","name","GEN.SPA","Force","Light","Chill","good_flaskid","LBB","L11","L15","F60"
"VIBACE07 HF DB_CS0_17","VIBACE07 HF DB","VIB.ACE","C","S",0,"CS0_17",19,82,87,NA
"ACERUB28 HF DB_CS0_16","ACERUB28 HF DB","ACE.RUB","C","S",0,"CS0_16",NA,NA,NA,NA
"ACESAC19 HF DB_CS0_16","ACESAC19 HF DB","ACE.SAC","C","S",0,"CS0_16",NA,NA,NA,NA
"VIBACE11 HF DB_CS0_16","VIBACE11 HF DB","VIB.ACE","C","S",0,"CS0_16",93,98,104,NA
"ACEPEN16 HF DB_CS0_15","ACEPEN16 HF DB","ACE.PEN","C","S",0,"CS0_15",NA,NA,NA,NA
"ACERUB23 HF DB_CS0_15","ACERUB23 HF DB","ACE.RUB","C","S",0,"CS0_15",NA,NA,NA,NA
"ILEVER01 HF DB_CS0_15","ILEVER01 HF DB","ILE.VER","C","S",0,"CS0_15",54,61,68,NA
"BETALL31 HF DB_CS0_14","BETALL31 HF DB","BET.ALL","C","S",0,"CS0_14",82,96,101,NA
"ILEMUC 9 HF DB_CS0_14","ILEMUC 9 HF DB","ILE.MUC","C","S",0,"CS0_14",NA,NA,NA,NA
"PRUPEN 23 HF DB_CS0_14","PRUPEN 23 HF DB","PRU.PEN","C","S",0,"CS0_14",NA,NA,NA,NA
"BETALL31 HF DB_CS0_13","BETALL31 HF DB","BET.ALL","C","S",0,"CS0_13",87,96,96,NA
"COMPER 6 HF DB_CS0_13","COMPER 6 HF DB","COM.PER","C","S",0,"CS0_13",NA,NA,NA,NA
"ILEMUC 10 HF DB_CS0_13","ILEMUC 10 HF DB","ILE.MUC","C","S",0,"CS0_13",NA,NA,NA,NA
"ILEMUC 12 HF DB_CS0_12","ILEMUC 12 HF DB","ILE.MUC","C","S",0,"CS0_12",NA,NA,NA,NA
"PRUVIR 3 HF DB_CS0_12","PRUVIR 3 HF DB","PRU.VIR","C","S",0,"CS0_12",NA,NA,NA,NA
"VACCOR 3 HF DB_CS0_12","VACCOR 3 HF DB","VAC.COR","C","S",0,"CS0_12",NA,NA,NA,NA
"ACESAC17 HF DB_CS0_11","ACESAC17 HF DB","ACE.SAC","C","S",0,"CS0_11",NA,NA,NA,NA
"VACCOR 3 HF DB_CS0_11","VACCOR 3 HF DB","VAC.COR","C","S",0,"CS0_11",NA,NA,NA,NA
"VIBACE4 HF DB_CS0_11","VIBACE4 HF DB","VIB.ACE","C","S",0,"CS0_11",NA,NA,NA,NA
"ACEPEN14 HF DB_CS0_10","ACEPEN14 HF DB","ACE.PEN","C","S",0,"CS0_10",NA,NA,NA,NA
"ACESAC11 HF DB_CS0_10","ACESAC11 HF DB","ACE.SAC","C","S",0,"CS0_10",NA,NA,NA,NA
"PRUVIR 7 HF DB_CS0_10","PRUVIR 7 HF DB","AME.SPP","C","S",0,"CS0_10",NA,NA,NA,NA
"ACEPEN20 HF DB_CS0_1","ACEPEN20 HF DB","ACE.PEN","C","S",0,"CS0_1",NA,NA,NA,NA
"CORCOR06 HF_CS0_1","CORCOR06 HF","COR.COR","C","S",0,"CS0_1",NA,NA,NA,NA
"PRUVIR 2 HF DB_CS0_1","PRUVIR 2 HF DB","PRU.VIR","C","S",0,"CS0_1",NA,NA,NA,NA
"BETALL32 HF DB_CL0_9","BETALL32 HF DB","BET.ALL","C","L",0,"CL0_9",NA,76,82,NA
"ILEVER06 HF DB_CL0_9","ILEVER06 HF DB","ILE.VER","C","L",0,"CL0_9",NA,NA,NA,NA
"VACCOR 6 HF DB_CL0_9","VACCOR 6 HF DB","VAC.COR","C","L",0,"CL0_9",NA,NA,NA,NA
"ACESAC19 HF DB_CL0_8","ACESAC19 HF DB","ACE.SAC","C","L",0,"CL0_8",NA,NA,NA,NA
"COMPER 1 HF DB_CL0_8","COMPER 1 HF DB","COM.PER","C","L",0,"CL0_8",NA,NA,NA,NA
"PRUVIR 5 HF DB_CL0_8","PRUVIR 5 HF DB","PRU.VIR","C","L",0,"CL0_8",NA,NA,NA,NA
"ACEPEN20 HF DB_CL0_7","ACEPEN20 HF DB","ACE.PEN","C","L",0,"CL0_7",NA,104,107,NA
"ACERUB25 HF DB_CL0_7","ACERUB25 HF DB","ACE.RUB","C","L",0,"CL0_7",NA,NA,NA,NA
"ACESAC11 HF DB_CL0_7","ACESAC11 HF DB","ACE.SAC","C","L",0,"CL0_7",NA,NA,NA,NA
"ACEPEN18 HF DB_CL0_6","ACEPEN18 HF DB","ACE.PEN","C","L",0,"CL0_6",56,63,68,93
"ACERUB25 HF DB_CL0_6","ACERUB25 HF DB","ACE.RUB","C","L",0,"CL0_6",NA,NA,NA,NA
"ILEMUC 10 HF DB_CL0_6","ILEMUC 10 HF DB","ILE.MUC","C","L",0,"CL0_6",101,107,110,NA
"ACEPEN16 HF DB_CL0_5","ACEPEN16 HF DB","ACE.PEN","C","L",0,"CL0_5",NA,NA,NA,NA
"ILEMUC 13 HF DB_CL0_5","ILEMUC 13 HF DB","ILE.MUC","C","L",0,"CL0_5",70,73,76,73
"VIBACE06 HF DB_CL0_5","VIBACE06 HF DB","VIB.ACE","C","L",0,"CL0_5",NA,NA,NA,NA
"BETALL32 HF DB_CL0_4","BETALL32 HF DB","BET.ALL","C","L",0,"CL0_4",82,84,93,NA
"COMPER 2 HF DB_CL0_4","COMPER 2 HF DB","COM.PER","C","L",0,"CL0_4",NA,NA,NA,NA
"PRUVIR 2 HF DB_CL0_4","PRUVIR 2 HF DB","PRU.VIR","C","L",0,"CL0_4",NA,NA,NA,NA
"COMPER 4 HF DB_CL0_3","COMPER 4 HF DB","COM.PER","C","L",0,"CL0_3",NA,NA,NA,30
"CORCOR07_HF_CL0_3","CORCOR07_HF","COR.COR","C","L",0,"CL0_3",96,101,107,NA
"ILEMUC 13 HF DB_CL0_3","ILEMUC 13 HF DB","ILE.MUC","C","L",0,"CL0_3",82,90,93,107
"COMPER 4 HF DB_CL0_24","COMPER 4 HF DB","COM.PER","C","L",0,"CL0_24",NA,NA,NA,33
"PRUPEN17 HF DB_CL0_24","PRUPEN17 HF DB","PRU.PEN","C","L",0,"CL0_24",35,NA,NA,NA
"PRUVIR 4 HF DB_CL0_24","PRUVIR 4 HF DB","PRU.VIR","C","L",0,"CL0_24",NA,NA,NA,NA
"ACESAC12 HF DB_CL0_23","ACESAC12 HF DB","ACE.SAC","C","L",0,"CL0_23",NA,NA,NA,NA
"PRUPEN 23 HF DB_CL0_23","PRUPEN 23 HF DB","PRU.PEN","C","L",0,"CL0_23",NA,NA,NA,NA
"VACCOR 11 HF DB_CL0_23","VACCOR 11 HF DB","VAC.COR","C","L",0,"CL0_23",12,101,107,33
"ACEPEN19 HF DB_CL0_22","ACEPEN19 HF DB","ACE.PEN","C","L",0,"CL0_22",73,84,90,87
"ACESAC18 HF DB_CL0_22","ACESAC18 HF DB","ACE.SAC","C","L",0,"CL0_22",NA,NA,NA,NA
"VIBACE06 HF DB_CL0_22","VIBACE06 HF DB","VIB.ACE","C","L",0,"CL0_22",NA,NA,NA,NA
"ILEMUC 11 HF DB_CL0_21","ILEMUC 11 HF DB","ILE.MUC","C","L",0,"CL0_21",90,NA,NA,NA
"PRUPEN 23 HF DB_CL0_21","PRUPEN 23 HF DB","PRU.PEN","C","L",0,"CL0_21",NA,NA,NA,NA
"VACCOR 3 HF DB_CL0_21","VACCOR 3 HF DB","VAC.COR","C","L",0,"CL0_21",NA,NA,NA,93
"ACEPEN17 HF DB_CL0_20","ACEPEN17 HF DB","ACE.PEN","C","L",0,"CL0_20",NA,NA,NA,NA
"CORCOR10_HF_CL0_20","CORCOR10_HF","COR.COR","C","L",0,"CL0_20",82,90,96,52
"PRUVIR 2 HF DB_CL0_20","PRUVIR 2 HF DB","PRU.VIR","C","L",0,"CL0_20",NA,NA,NA,NA
"BETALL33 HF DB_CL0_2","BETALL33 HF DB","BET.ALL","C","L",0,"CL0_2",104,107,110,NA
"ILEVER04 HF DB_CL0_2","ILEVER04 HF DB","ILE.VER","C","L",0,"CL0_2",NA,NA,NA,NA
"PRUPEN 22 HF DB_CL0_2","PRUPEN 22 HF DB","PRU.PEN","C","L",0,"CL0_2",35,45,82,NA
"ACERUB23 HF DB_CL0_19","ACERUB23 HF DB","ACE.RUB","C","L",0,"CL0_19",NA,NA,NA,NA
"PRUVIR 6 HF DB_CL0_19","PRUVIR 6 HF DB","PRU.VIR","C","L",0,"CL0_19",NA,NA,NA,NA
"VACCOR 11 HF DB_CL0_19","VACCOR 11 HF DB","VAC.COR","C","L",0,"CL0_19",84,101,110,45
"COMPER 6 HF DB_CL0_18","COMPER 6 HF DB","COM.PER","C","L",0,"CL0_18",NA,NA,NA,NA
"ILEMUC 12 HF DB_CL0_18","ILEMUC 12 HF DB","ILE.MUC","C","L",0,"CL0_18",NA,NA,NA,NA
"VIBACE10 HF DB_CL0_18","VIBACE10 HF DB","VIB.ACE","C","L",0,"CL0_18",96,104,NA,NA
"ACERUB23 HF DB_CL0_17","ACERUB23 HF DB","ACE.RUB","C","L",0,"CL0_17",NA,NA,NA,61
"BETALL31 HF DB_CL0_17","BETALL31 HF DB","BET.ALL","C","L",0,"CL0_17",65,70,76,NA
"CORCOR 16 HF DB_CL0_17","CORCOR 16 HF DB","COR.COR","C","L",0,"CL0_17",90,98,104,82
"CORCOR09_HF_CL0_16","CORCOR09_HF","COR.COR","C","L",0,"CL0_16",90,90,104,NA
"VACCOR 1 HF DB_CL0_16","VACCOR 1 HF DB","VAC.COR","C","L",0,"CL0_16",63,101,104,40
"VIBACE01 HF DB_CL0_16","VIBACE01 HF DB","VIB.ACE","C","L",0,"CL0_16",63,82,90,NA
"BETALL34 HF DB_CL0_15","BETALL34 HF DB","BET.ALL","C","L",0,"CL0_15",82,93,104,NA
"CORCOR07_HF_CL0_15","CORCOR07_HF","COR.COR","C","L",0,"CL0_15",84,90,101,68
"ILEVER04 HF DB_CL0_15","ILEVER04 HF DB","ILE.VER","C","L",0,"CL0_15",NA,NA,NA,NA
"ACERUB26 HF DB_CL0_14","ACERUB26 HF DB","ACE.RUB","C","L",0,"CL0_14",112,NA,NA,NA
"BETALL26 HF DB_CL0_14","BETALL26 HF DB","BET.ALL","C","L",0,"CL0_14",58,63,68,NA
"VIBACE4 HF DB_CL0_14","VIBACE4 HF DB","VIB.ACE","C","L",0,"CL0_14",112,NA,NA,NA
"PRUPEN 24 HF DB_CL0_13","PRUPEN 24 HF DB","PRU.PEN","C","L",0,"CL0_13",47,52,NA,NA
"PRUVIR 7 HF DB_CL0_13","PRUVIR 7 HF DB","AME.SPP","C","L",0,"CL0_13",NA,NA,NA,NA
"VACCOR 10 HF DB_CL0_13","VACCOR 10 HF DB","VAC.COR","C","L",0,"CL0_13",30,35,50,40
"ACESAC11 HF DB_CL0_12","ACESAC11 HF DB","ACE.SAC","C","L",0,"CL0_12",NA,NA,NA,NA
"CORCOR09_HF_CL0_12","CORCOR09_HF","COR.COR","C","L",0,"CL0_12",87,93,104,73
"ILEVER08 HF DB_CL0_12","ILEVER08 HF DB","ILE.VER","C","L",0,"CL0_12",93,96,101,NA
"ACEPEN17 HF DB_CL0_11","ACEPEN17 HF DB","ACE.PEN","C","L",0,"CL0_11",NA,NA,NA,NA
"ACESAC11 HF DB_CL0_11","ACESAC11 HF DB","ACE.SAC","C","L",0,"CL0_11",NA,NA,NA,NA
"ILEVER05 HF DB_CL0_11","ILEVER05 HF DB","ILE.VER","C","L",0,"CL0_11",96,98,101,NA
"ILEMUC 12 HF DB_CL0_10","ILEMUC 12 HF DB","ILE.MUC","C","L",0,"CL0_10",93,93,96,96
"ILEVER07 HF DB_CL0_10","ILEVER07 HF DB","ILE.VER","C","L",0,"CL0_10",47,50,52,NA
"VIBACE06 HF DB_CL0_10","VIBACE06 HF DB","VIB.ACE","C","L",0,"CL0_10",NA,NA,NA,NA
"ACERUB27 HF DB_CL0_1","ACERUB27 HF DB","ACE.RUB","C","L",0,"CL0_1",NA,NA,NA,NA
"COMPER 2 HF DB_CL0_1","COMPER 2 HF DB","COM.PER","C","L",0,"CL0_1",NA,NA,NA,30
"PRUPEN 21 HF DB_CL0_1","PRUPEN 21 HF DB","BET.SPP","C","L",0,"CL0_1",50,52,61,NA
"ACERUB25 HF DB_WS1_9","ACERUB25 HF DB","ACE.RUB","W","S",1,"WS1_9",NA,NA,NA,NA
"CORCOR10_HF_WS1_9","CORCOR10_HF","COR.COR","W","S",1,"WS1_9",76,94,NA,42
"VACCOR 9 HF DB_WS1_9","VACCOR 9 HF DB","VAC.COR","W","S",1,"WS1_9",12,17,22,24
"COMPER 3 HF DB_WS1_8","COMPER 3 HF DB","COM.PER","W","S",1,"WS1_8",14,19,24,24
"VACCOR 3 HF DB_WS1_8","VACCOR 3 HF DB","VAC.COR","W","S",1,"WS1_8",37,42,62,22
"VIBACE4 HF DB_WS1_8","VIBACE4 HF DB","VIB.ACE","W","S",1,"WS1_8",NA,NA,NA,NA
"ACESAC19 HF DB_WS1_7","ACESAC19 HF DB","ACE.SAC","W","S",1,"WS1_7",68,NA,NA,NA
"ILEVER10 HF DB_WS1_7","ILEVER10 HF DB","ILE.VER","W","S",1,"WS1_7",NA,NA,NA,NA
"VACCOR ? HF DB_WS1_7","VACCOR ? HF DB","VAC.COR","W","S",1,"WS1_7",7,14,33,26
"ACESAC16 HF DB_WS1_6","ACESAC16 HF DB","ACE.SAC","W","S",1,"WS1_6",NA,65,68,NA
"BETALL34 HF DB_WS1_6","BETALL34 HF DB","BET.ALL","W","S",1,"WS1_6",40,42,54,NA
"ILEVER08 HF DB_WS1_6","ILEVER08 HF DB","ILE.VER","W","S",1,"WS1_6",14,17,22,NA
"ACEPEN17 HF DB_WS1_5","ACEPEN17 HF DB","ACE.PEN","W","S",1,"WS1_5",33,42,48,NA
"PRUPEN 24 HF DB_WS1_5","PRUPEN 24 HF DB","PRU.PEN","W","S",1,"WS1_5",9,19,24,NA
"PRUVIR 7 HF DB_WS1_5","PRUVIR 7 HF DB","AME.SPP","W","S",1,"WS1_5",45,51,86,40
"ACEPEN14 HF DB_WS1_4","ACEPEN14 HF DB","ACE.PEN","W","S",1,"WS1_4",26,40,45,NA
"CORCOR 17 HF DB_WS1_4","CORCOR 17 HF DB","COR.COR","W","S",1,"WS1_4",45,62,76,33
"PRUVIR 5 HF DB_WS1_4","PRUVIR 5 HF DB","PRU.VIR","W","S",1,"WS1_4",NA,NA,28,54
"ACEPEN18 HF DB_WS1_3","ACEPEN18 HF DB","ACE.PEN","W","S",1,"WS1_3",26,35,42,37
"ACESAC12 HF DB_WS1_3","ACESAC12 HF DB","ACE.SAC","W","S",1,"WS1_3",NA,NA,NA,NA
"VIBACE06 HF DB_WS1_3","VIBACE06 HF DB","VIB.ACE","W","S",1,"WS1_3",NA,NA,NA,NA
"PRUPEN 24 HF DB_WS1_24","PRUPEN 24 HF DB","PRU.PEN","W","S",1,"WS1_24",12,19,24,26
"PRUVIR 7 HF DB_WS1_24","PRUVIR 7 HF DB","AME.SPP","W","S",1,"WS1_24",NA,NA,NA,NA
"VIBACE08 HF DB_WS1_24","VIBACE08 HF DB","VIB.ACE","W","S",1,"WS1_24",22,24,28,NA
"BETALL33 HF DB_WS1_23","BETALL33 HF DB","BET.ALL","W","S",1,"WS1_23",28,33,35,NA
"ILEMUC 14 HF DB_WS1_23","ILEMUC 14 HF DB","ILE.MUC","W","S",1,"WS1_23",NA,NA,NA,NA
"VACCOR 1 HF DB_WS1_23","VACCOR 1 HF DB","VAC.COR","W","S",1,"WS1_23",37,42,48,19
"ACESAC11 HF DB_WS1_22","ACESAC11 HF DB","ACE.SAC","W","S",1,"WS1_22",62,NA,NA,NA
"BETALL33 HF DB_WS1_22","BETALL33 HF DB","BET.ALL","W","S",1,"WS1_22",79,51,54,NA
"VIBACE02 HF DB_WS1_22","VIBACE02 HF DB","VIB.ACE","W","S",1,"WS1_22",37,40,42,NA
"ACERUB28 HF DB_WS1_21","ACERUB28 HF DB","ACE.RUB","W","S",1,"WS1_21",NA,NA,NA,NA
"COMPER 8 HF DB_WS1_21","COMPER 8 HF DB","COM.PER","W","S",1,"WS1_21",12,19,35,14
"VIBACE4 HF DB_WS1_21","VIBACE4 HF DB","VIB.ACE","W","S",1,"WS1_21",NA,NA,NA,NA
"ACESAC11 HF DB_WS1_20","ACESAC11 HF DB","ACE.SAC","W","S",1,"WS1_20",68,73,76,NA
"CORCOR14 HF DB_WS1_20","CORCOR14 HF DB","COR.COR","W","S",1,"WS1_20",33,35,40,24
"PRUPEN 24 HF DB_WS1_20","PRUPEN 24 HF DB","PRU.PEN","W","S",1,"WS1_20",7,17,19,26
"BETALL32 HF DB_WS1_2","BETALL32 HF DB","BET.ALL","W","S",1,"WS1_2",37,45,51,NA
"CORCOR08_HF_WS1_2","CORCOR08_HF","COR.COR","W","S",1,"WS1_2",35,40,45,37
"ILEVER05 HF DB_WS1_2","ILEVER05 HF DB","ILE.VER","W","S",1,"WS1_2",19,22,26,NA
"ACEPEN19 HF DB_WS1_19","ACEPEN19 HF DB","ACE.PEN","W","S",1,"WS1_19",28,40,45,42
"CORCOR07_HF_WS1_19","CORCOR07_HF","COR.COR","W","S",1,"WS1_19",NA,NA,NA,NA
"ILEMUC 14 HF DB_WS1_19","ILEMUC 14 HF DB","ILE.MUC","W","S",1,"WS1_19",28,33,37,NA
"ACERUB29 HF DB_WS1_18","ACERUB29 HF DB","ACE.RUB","W","S",1,"WS1_18",NA,NA,NA,NA
"ILEVER08 HF DB_WS1_18","ILEVER08 HF DB","ILE.VER","W","S",1,"WS1_18",14,19,22,NA
"PRUVIR 3 HF DB_WS1_18","PRUVIR 3 HF DB","PRU.VIR","W","S",1,"WS1_18",35,40,NA,NA
"ACEPEN16 HF DB_WS1_17","ACEPEN16 HF DB","ACE.PEN","W","S",1,"WS1_17",26,35,40,40
"ACERUB26 HF DB_WS1_17","ACERUB26 HF DB","ACE.RUB","W","S",1,"WS1_17",NA,NA,NA,56
"VACCOR 7 HF DB_WS1_17","VACCOR 7 HF DB","VAC.COR","W","S",1,"WS1_17",17,24,28,NA
"ACEPEN14 HF DB_WS1_16","ACEPEN14 HF DB","ACE.PEN","W","S",1,"WS1_16",35,51,54,NA
"ILEMUC 10 HF DB_WS1_16","ILEMUC 10 HF DB","ILE.MUC","W","S",1,"WS1_16",NA,NA,62,89
"PRUVIR 7 HF DB_WS1_16","PRUVIR 7 HF DB","AME.SPP","W","S",1,"WS1_16",NA,NA,NA,NA
"ACESAC18 HF DB_WS1_15","ACESAC18 HF DB","ACE.SAC","W","S",1,"WS1_15",84,NA,NA,NA
"ILEVER05 HF DB_WS1_15","ILEVER05 HF DB","ILE.VER","W","S",1,"WS1_15",17,22,24,NA
"PRUPEN17 HF DB_WS1_15","PRUPEN17 HF DB","PRU.PEN","W","S",1,"WS1_15",7,14,17,24
"ACERUB28 HF DB_WS1_14","ACERUB28 HF DB","ACE.RUB","W","S",1,"WS1_14",NA,NA,NA,NA
"ILEMUC 12 HF DB_WS1_14","ILEMUC 12 HF DB","ILE.MUC","W","S",1,"WS1_14",NA,NA,NA,NA
"ILEVER 5 HF DB_WS1_14","ILEVER 5 HF DB","ILE.VER","W","S",1,"WS1_14",14,22,28,NA
"COMPER 3 HF DB_WS1_13","COMPER 3 HF DB","COM.PER","W","S",1,"WS1_13",14,22,26,12
"PRUVIR 4 HF DB_WS1_13","PRUVIR 4 HF DB","PRU.VIR","W","S",1,"WS1_13",NA,33,35,45
"VACCOR 1 HF DB_WS1_13","VACCOR 1 HF DB","VAC.COR","W","S",1,"WS1_13",12,17,22,17
"COMPER 3 HF DB_WS1_12","COMPER 3 HF DB","COM.PER","W","S",1,"WS1_12",12,17,22,NA
"CORCOR10_HF_WS1_12","CORCOR10_HF","COR.COR","W","S",1,"WS1_12",86,62,65,NA
"ILEMUC 12 HF DB_WS1_12","ILEMUC 12 HF DB","ILE.MUC","W","S",1,"WS1_12",73,107,79,79
"BETALL26 HF DB_WS1_11","BETALL26 HF DB","BET.ALL","W","S",1,"WS1_11",30,40,45,NA
"COMPER 2 HF DB_WS1_11","COMPER 2 HF DB","COM.PER","W","S",1,"WS1_11",19,26,48,9
"PRUPEN 22 HF DB_WS1_11","PRUPEN 22 HF DB","PRU.PEN","W","S",1,"WS1_11",12,19,24,NA
"BETALL32 HF DB_WS1_10","BETALL32 HF DB","BET.ALL","W","S",1,"WS1_10",42,45,51,NA
"COMPER 3 HF DB_WS1_10","COMPER 3 HF DB","COM.PER","W","S",1,"WS1_10",12,17,26,NA
"PRUPEN17 HF DB_WS1_10","PRUPEN17 HF DB","PRU.PEN","W","S",1,"WS1_10",NA,NA,NA,NA
"ACERUB25 HF DB_WS1_1","ACERUB25 HF DB","ACE.RUB","W","S",1,"WS1_1",NA,NA,NA,NA
"ILEMUC 14 HF DB_WS1_1","ILEMUC 14 HF DB","ILE.MUC","W","S",1,"WS1_1",45,48,51,NA
"VIBACE07 HF DB_WS1_1","VIBACE07 HF DB","VIB.ACE","W","S",1,"WS1_1",NA,NA,NA,NA
"COMPER ? HF DB_WL1_9","COMPER ? HF DB","COM.PER","W","L",1,"WL1_9",28,35,42,14
"ILEMUC 13 HF DB_WL1_9","ILEMUC 13 HF DB","ILE.MUC","W","L",1,"WL1_9",22,28,33,33
"VIBACE08 HF DB_WL1_9","VIBACE08 HF DB","VIB.ACE","W","L",1,"WL1_9",17,19,24,NA
"ACERUB25 HF DB_WL1_8","ACERUB25 HF DB","ACE.RUB","W","L",1,"WL1_8",NA,NA,NA,NA
"BETALL31 HF DB_WL1_8","BETALL31 HF DB","BET.ALL","W","L",1,"WL1_8",33,35,40,NA
"COMPER 4 HF DB_WL1_8","COMPER 4 HF DB","COM.PER","W","L",1,"WL1_8",9,22,33,12
"BETALL31 HF DB_WL1_7","BETALL31 HF DB","BET.ALL","W","L",1,"WL1_7",33,42,51,NA
"CORCOR06 HF_WL1_7","CORCOR06 HF","COR.COR","W","L",1,"WL1_7",22,24,26,NA
"PRUPEN 26 HF DB_WL1_7","PRUPEN 26 HF DB","PRU.PEN","W","L",1,"WL1_7",9,14,22,NA
"ACEPEN17 HF DB_WL1_6","ACEPEN17 HF DB","ACE.PEN","W","L",1,"WL1_6",26,37,40,NA
"ACESAC18 HF DB_WL1_6","ACESAC18 HF DB","ACE.SAC","W","L",1,"WL1_6",48,51,56,NA
"PRUPEN17 HF DB_WL1_6","PRUPEN17 HF DB","PRU.PEN","W","L",1,"WL1_6",9,14,17,22
"BETALL34 HF DB_WL1_5","BETALL34 HF DB","BET.ALL","W","L",1,"WL1_5",24,33,45,NA
"CORCOR10_HF_WL1_5","CORCOR10_HF","COR.COR","W","L",1,"WL1_5",NA,NA,NA,NA
"ILEMUC 9 HF DB_WL1_5","ILEMUC 9 HF DB","ILE.MUC","W","L",1,"WL1_5",24,26,28,NA
"ACEPEN20 HF DB_WL1_4","ACEPEN20 HF DB","ACE.PEN","W","L",1,"WL1_4",30,37,42,NA
"CORCOR09_HF_WL1_4","CORCOR09_HF","COR.COR","W","L",1,"WL1_4",35,35,48,NA
"ILEMUC 9 HF DB_WL1_4","ILEMUC 9 HF DB","ILE.MUC","W","L",1,"WL1_4",22,26,28,NA
"ACESAC13 HF DB_WL1_3","ACESAC13 HF DB","ACE.SAC","W","L",1,"WL1_3",48,NA,51,NA
"BETALL31 HF DB_WL1_3","BETALL31 HF DB","BET.ALL","W","L",1,"WL1_3",28,30,35,NA
"PRUPEN 24 HF DB_WL1_3","PRUPEN 24 HF DB","PRU.PEN","W","L",1,"WL1_3",7,12,17,22
"ACEPEN14 HF DB_WL1_24","ACEPEN14 HF DB","ACE.PEN","W","L",1,"WL1_24",33,NA,NA,NA
"ILEMUC 12 HF DB_WL1_24","ILEMUC 12 HF DB","ILE.MUC","W","L",1,"WL1_24",40,54,62,NA
