"","id","leaf_day","flo_day","flo_dayF","flo_dayM","name","GEN.SPA","Force","Light","Chill","good_flaskid"
"1","COMPER 3 HF DB_WS0_9",NA,NA,NA,NA,"COMPER 3 HF DB","COM.PER","W","L",0,"WS0_9"
"2","CORCOR 17 HF DB_WS0_6",93,NA,NA,63,"CORCOR 17 HF DB","COR.COR","W","L",0,"WS0_6"
"3","CORCOR 16 HF DB_WS0_4",61,NA,NA,NA,"CORCOR 16 HF DB","COR.COR","W","L",0,"WS0_4"
"4","COMPER 6 HF DB_WS0_21",47,NA,21,NA,"COMPER 6 HF DB","COM.PER","W","L",0,"WS0_21"
"5","COMPER 8 HF DB_WS0_2",NA,NA,NA,NA,"COMPER 8 HF DB","COM.PER","W","L",0,"WS0_2"
"6","CORCOR16 HF_WS0_19",NA,NA,73,NA,"CORCOR16 HF","COR.COR","W","L",0,"WS0_19"
"7","COMPER 3 HF DB_WS0_16",NA,NA,NA,NA,"COMPER 3 HF DB","COM.PER","W","L",0,"WS0_16"
"8","COMPER 8 HF DB_WS0_15",NA,NA,NA,NA,"COMPER 8 HF DB","COM.PER","W","L",0,"WS0_15"
"9","CORCOR07_HF_WS0_13",NA,NA,NA,NA,"CORCOR07_HF","COR.COR","W","L",0,"WS0_13"
"10","COMPER 6 HF DB_WS0_11",NA,NA,NA,NA,"COMPER 6 HF DB","COM.PER","W","L",0,"WS0_11"
"11","CORCOR14 HF DB_WS0_11",76,NA,NA,NA,"CORCOR14 HF DB","COR.COR","W","L",0,"WS0_11"
"12","CORCOR08_HF_WS0_1",NA,NA,NA,NA,"CORCOR08_HF","COR.COR","W","L",0,"WS0_1"
"13","CORCOR06 HF_WL0_8",NA,NA,NA,NA,"CORCOR06 HF","COR.COR","W","S",0,"WL0_8"
"14","CORCOR 16 HF DB_WL0_4",NA,NA,NA,NA,"CORCOR 16 HF DB","COR.COR","W","S",0,"WL0_4"
"15","COMPER 8 HF DB_WL0_3",40,NA,NA,NA,"COMPER 8 HF DB","COM.PER","W","S",0,"WL0_3"
"16","CORCOR 16 HF DB_WL0_24",NA,NA,NA,NA,"CORCOR 16 HF DB","COR.COR","W","S",0,"WL0_24"
"17","CORCOR 16 HF DB_WL0_23",NA,NA,NA,NA,"CORCOR 16 HF DB","COR.COR","W","S",0,"WL0_23"
"18","COMPER ? HF DB_WL0_22",NA,NA,NA,NA,"COMPER ? HF DB","COM.PER","W","S",0,"WL0_22"
"19","COMPER 3 HF DB_WL0_14",NA,NA,NA,NA,"COMPER 3 HF DB","COM.PER","W","S",0,"WL0_14"
"20","COMPER 5 HF DB_WL0_13",NA,NA,NA,NA,"COMPER 5 HF DB","COM.PER","W","S",0,"WL0_13"
"21","COMPER 5 HF DB_WL0_11",104,NA,47,NA,"COMPER 5 HF DB","COM.PER","W","S",0,"WL0_11"
"22","COMPER 6 HF DB_WL0_10",NA,NA,NA,NA,"COMPER 6 HF DB","COM.PER","W","S",0,"WL0_10"
"23","CORCOR 15 HF DB_WL0_10",NA,NA,NA,NA,"CORCOR 15 HF DB","COR.COR","W","S",0,"WL0_10"
"24","CORCOR 17 HF DB_WL0_1",NA,NA,NA,63,"CORCOR 17 HF DB","COR.COR","W","S",0,"WL0_1"
"25","COMPER 6 HF DB_CS0_8",NA,NA,NA,NA,"COMPER 6 HF DB","COM.PER","C","S",0,"CS0_8"
"26","COMPER 2 HF DB_CS0_4",NA,NA,33,NA,"COMPER 2 HF DB","COM.PER","C","S",0,"CS0_4"
"27","CORCOR10_HF_CS0_3",NA,NA,NA,104,"CORCOR10_HF","COR.COR","C","S",0,"CS0_3"
"28","CORCOR14 HF DB_CS0_24",84,NA,73,NA,"CORCOR14 HF DB","COR.COR","C","S",0,"CS0_24"
"29","CORCOR09_HF_CS0_23",NA,NA,NA,NA,"CORCOR09_HF","COR.COR","C","S",0,"CS0_23"
"30","COMPER 4 HF DB_CS0_22",NA,NA,30,NA,"COMPER 4 HF DB","COM.PER","C","S",0,"CS0_22"
"31","CORCOR 15_HF_CS0_21",NA,NA,NA,68,"CORCOR 15_HF","COR.COR","C","S",0,"CS0_21"
"32","COMPER 8 HF DB_CS0_20",NA,NA,NA,NA,"COMPER 8 HF DB","COM.PER","C","S",0,"CS0_20"
"33","COMPER 5 HF DB_CS0_2",NA,NA,NA,NA,"COMPER 5 HF DB","COM.PER","C","S",0,"CS0_2"
"34","CORCOR09_HF_CS0_2",107,NA,NA,NA,"CORCOR09_HF","COR.COR","C","S",0,"CS0_2"
"35","COMPER 6 HF DB_CS0_13",NA,NA,NA,NA,"COMPER 6 HF DB","COM.PER","C","S",0,"CS0_13"
"36","CORCOR06 HF_CS0_1",NA,NA,NA,NA,"CORCOR06 HF","COR.COR","C","S",0,"CS0_1"
"37","COMPER 1 HF DB_CL0_8",NA,NA,NA,NA,"COMPER 1 HF DB","COM.PER","C","L",0,"CL0_8"
"38","COMPER 2 HF DB_CL0_4",NA,NA,NA,NA,"COMPER 2 HF DB","COM.PER","C","L",0,"CL0_4"
"39","COMPER 4 HF DB_CL0_3",NA,NA,30,NA,"COMPER 4 HF DB","COM.PER","C","L",0,"CL0_3"
"40","CORCOR07_HF_CL0_3",107,NA,NA,NA,"CORCOR07_HF","COR.COR","C","L",0,"CL0_3"
"41","COMPER 4 HF DB_CL0_24",NA,NA,33,NA,"COMPER 4 HF DB","COM.PER","C","L",0,"CL0_24"
"42","CORCOR10_HF_CL0_20",96,NA,NA,52,"CORCOR10_HF","COR.COR","C","L",0,"CL0_20"
"43","COMPER 6 HF DB_CL0_18",NA,NA,NA,NA,"COMPER 6 HF DB","COM.PER","C","L",0,"CL0_18"
"44","CORCOR 16 HF DB_CL0_17",104,NA,82,NA,"CORCOR 16 HF DB","COR.COR","C","L",0,"CL0_17"
"45","CORCOR09_HF_CL0_16",104,NA,NA,NA,"CORCOR09_HF","COR.COR","C","L",0,"CL0_16"
"46","CORCOR07_HF_CL0_15",101,NA,NA,68,"CORCOR07_HF","COR.COR","C","L",0,"CL0_15"
"47","CORCOR09_HF_CL0_12",104,NA,NA,73,"CORCOR09_HF","COR.COR","C","L",0,"CL0_12"
"48","COMPER 2 HF DB_CL0_1",NA,NA,30,NA,"COMPER 2 HF DB","COM.PER","C","L",0,"CL0_1"
"49","CORCOR10_HF_WS1_9",NA,NA,NA,42,"CORCOR10_HF","COR.COR","W","S",1,"WS1_9"
"50","COMPER 3 HF DB_WS1_8",24,NA,NA,24,"COMPER 3 HF DB","COM.PER","W","S",1,"WS1_8"
"51","CORCOR 17 HF DB_WS1_4",76,NA,56,33,"CORCOR 17 HF DB","COR.COR","W","S",1,"WS1_4"
"52","COMPER 8 HF DB_WS1_21",35,NA,NA,14,"COMPER 8 HF DB","COM.PER","W","S",1,"WS1_21"
"53","CORCOR14 HF DB_WS1_20",40,NA,NA,24,"CORCOR14 HF DB","COR.COR","W","S",1,"WS1_20"
"54","CORCOR08_HF_WS1_2",45,NA,37,NA,"CORCOR08_HF","COR.COR","W","S",1,"WS1_2"
"55","CORCOR07_HF_WS1_19",NA,NA,NA,NA,"CORCOR07_HF","COR.COR","W","S",1,"WS1_19"
"56","COMPER 3 HF DB_WS1_13",26,NA,12,30,"COMPER 3 HF DB","COM.PER","W","S",1,"WS1_13"
"57","COMPER 3 HF DB_WS1_12",22,NA,NA,NA,"COMPER 3 HF DB","COM.PER","W","S",1,"WS1_12"
"58","CORCOR10_HF_WS1_12",65,NA,NA,NA,"CORCOR10_HF","COR.COR","W","S",1,"WS1_12"
"59","COMPER 2 HF DB_WS1_11",48,NA,9,19,"COMPER 2 HF DB","COM.PER","W","S",1,"WS1_11"
"60","COMPER 3 HF DB_WS1_10",26,NA,NA,NA,"COMPER 3 HF DB","COM.PER","W","S",1,"WS1_10"
"61","COMPER ? HF DB_WL1_9",42,NA,NA,14,"COMPER ? HF DB","COM.PER","W","L",1,"WL1_9"
"62","COMPER 4 HF DB_WL1_8",33,NA,12,33,"COMPER 4 HF DB","COM.PER","W","L",1,"WL1_8"
"63","CORCOR06 HF_WL1_7",26,NA,NA,NA,"CORCOR06 HF","COR.COR","W","L",1,"WL1_7"
"64","CORCOR10_HF_WL1_5",NA,NA,NA,NA,"CORCOR10_HF","COR.COR","W","L",1,"WL1_5"
"65","CORCOR09_HF_WL1_4",48,NA,NA,NA,"CORCOR09_HF","COR.COR","W","L",1,"WL1_4"
"66","CORCOR 15 HF DB_WL1_22",NA,NA,NA,NA,"CORCOR 15 HF DB","COR.COR","W","L",1,"WL1_22"
"67","COMPER 6 HF DB_WL1_20",30,NA,17,17,"COMPER 6 HF DB","COM.PER","W","L",1,"WL1_20"
"68","COMPER 5 HF DB_WL1_2",35,NA,30,17,"COMPER 5 HF DB","COM.PER","W","L",1,"WL1_2"
"69","CORCOR16 HF_WL1_18",54,NA,28,37,"CORCOR16 HF","COR.COR","W","L",1,"WL1_18"
"70","COMPER 5 HF DB_WL1_14",42,NA,NA,12,"COMPER 5 HF DB","COM.PER","W","L",1,"WL1_14"
"71","CORCOR16_HF_WL1_14",54,NA,NA,NA,"CORCOR16_HF","COR.COR","W","L",1,"WL1_14"
"72","COMPER 3 HF DB_WL1_13",45,NA,NA,37,"COMPER 3 HF DB","COM.PER","W","L",1,"WL1_13"
"73","COMPER 8 HF DB_CS1_9",62,NA,35,51,"COMPER 8 HF DB","COM.PER","C","S",1,"CS1_9"
"74","COMPER 6 HF DB_CS1_8",NA,NA,NA,28,"COMPER 6 HF DB","COM.PER","C","S",1,"CS1_8"
"75","CORCOR 16 HF DB_CS1_8",NA,NA,NA,NA,"CORCOR 16 HF DB","COR.COR","C","S",1,"CS1_8"
"76","COMPER 8 HF DB_CS1_4",68,NA,NA,28,"COMPER 8 HF DB","COM.PER","C","S",1,"CS1_4"
"77","CORCOR14 HF DB_CS1_3",62,NA,NA,NA,"CORCOR14 HF DB","COR.COR","C","S",1,"CS1_3"
"78","CORCOR 15 HF DB_CS1_23",82,NA,NA,40,"CORCOR 15 HF DB","COR.COR","C","S",1,"CS1_23"
"79","COMPER 6 HF DB_CS1_22",91,NA,NA,28,"COMPER 6 HF DB","COM.PER","C","S",1,"CS1_22"
"80","CORCOR 15 HF DB_CS1_22",73,NA,40,37,"CORCOR 15 HF DB","COR.COR","C","S",1,"CS1_22"
"81","COMPER 1 HF DB_CS1_15",48,NA,37,30,"COMPER 1 HF DB","COM.PER","C","S",1,"CS1_15"
"82","CORCOR09_HF_CS1_15",65,NA,40,NA,"CORCOR09_HF","COR.COR","C","S",1,"CS1_15"
"83","COMPER 6 HF DB_CS1_12",48,NA,NA,NA,"COMPER 6 HF DB","COM.PER","C","S",1,"CS1_12"
"84","CORCOR06 HF_CS1_1",48,NA,NA,NA,"CORCOR06 HF","COR.COR","C","S",1,"CS1_1"
"85","COMPER 3 HF DB_CL1_8",56,NA,35,48,"COMPER 3 HF DB","COM.PER","C","L",1,"CL1_8"
"86","COMPER 2 HF DB_CL1_5",62,NA,NA,35,"COMPER 2 HF DB","COM.PER","C","L",1,"CL1_5"
"87","COMPER 1 HF DB_CL1_3",54,NA,37,30,"COMPER 1 HF DB","COM.PER","C","L",1,"CL1_3"
"88","CORCOR07_HF_CL1_3",65,NA,62,NA,"CORCOR07_HF","COR.COR","C","L",1,"CL1_3"
"89","COMPER 1 HF DB_CL1_24",48,NA,19,33,"COMPER 1 HF DB","COM.PER","C","L",1,"CL1_24"
"90","CORCOR 17 HF DB_CL1_23",56,NA,45,NA,"CORCOR 17 HF DB","COR.COR","C","L",1,"CL1_23"
"91","CORCOR 15 HF DB_CL1_22",68,NA,51,33,"CORCOR 15 HF DB","COR.COR","C","L",1,"CL1_22"
"92","CORCOR 15 HF DB_CL1_21",65,33,45,35,"CORCOR 15 HF DB","COR.COR","C","L",1,"CL1_21"
"93","COMPER 1 HF DB_CL1_20",51,NA,37,37,"COMPER 1 HF DB","COM.PER","C","L",1,"CL1_20"
"94","COMPER 1 HF DB_CL1_16",54,NA,28,37,"COMPER 1 HF DB","COM.PER","C","L",1,"CL1_16"
"95","CORCOR09_HF_CL1_14",62,NA,NA,NA,"CORCOR09_HF","COR.COR","C","L",1,"CL1_14"
"96","CORCOR07_HF_CL1_1",54,NA,NA,NA,"CORCOR07_HF","COR.COR","C","L",1,"CL1_1"
