"genus","species","silvics_pollin","silvic_phen_seq","flower_class","av_fruit_time","locality","flower_time","flower_locality","shade","height","name","pro","pol","fruit_bin","shade_bin"
"Sassafras","albidum","insect","syn","dio",8.5,"",3.5,"","intolerant",30,"Sassafras_albidum",0,0,0,0
"Magnolia","acuminata","insect","syn/ser","perfect",9,"",5.5,"","medium_tolerant",30,"Magnolia_acuminata",0,0,1,1
"Tilia","americana","insect","ser","perfect",9.5,"",6,"","tolerant",40,"Tilia_americana",0,0,1,1
"Aesculus","glabra","insect","ser","polygamo-mono",9.5,"",4,"","tolerant",21.3,"Aesculus_glabra",0,0,1,1
"Aesculus","octandra","insect","ser","polygamo-mono",9,"",5,"","tolerant",26,"Aesculus_octandra",0,0,1,1
"Acer","nigrum","ambo","syn","mono",9.5,"New england",4.5,"range ave","tolerant",34,"Acer_nigrum",0,0,1,1
"Acer","pensylvanicum","insect","ser","mono/dio",10.5,"",5.5,"","tolerant",15,"Acer_pensylvanicum",0,0,1,1
"Acer","negundo","wind","pro/syn","dio",9,"",4,"","tolerant",23,"Acer_negundo",1,1,1,1
"Acer","macrophyllum","insect","pro","polygamous",11.5,"oregon?",4.5,"","tolerant",30,"Acer_macrophyllum",1,0,1,1
"Acer","saccharinum","wind","pro","polygamo-dio",5,"",3.5,"","tolerant",37,"Acer_saccharinum",1,1,0,1
"Acer","rubrum","wind","pro","polygamo-dio",5.5,"",4,"","tolerant",27,"Acer_rubrum",1,1,0,1
"Acer","saccharum","wind","pro","polygamous",8.5,"",4,"","tolerant",37,"Acer_saccharum",1,1,0,1
"Populus","heterophylla","wind","pro","dio",5.5,"",4,"","intolerant",40,"Populus_heterophylla",1,1,0,0
"Populus","deltoides","wind","pro","dio",6.5,"north",3,"","intolerant",58,"Populus_deltoides",1,1,0,0
"Populus","balsamifera","wind","pro","dio",5.5,"range",4.5,"range","intolerant",30,"Populus_balsamifera",1,1,0,0
"Populus","grandidentata","wind","pro","dio",5.5,"",4.5,"","intolerant",24,"Populus_grandidentata",1,1,0,0
"Populus","tremuloides","wind","pro","dio",5.5,"",4,"","intolerant",26,"Populus_tremuloides",1,1,0,0
"Fagus","grandifolia","wind","syn","mono",10,"",4.5,"","tolerant",24,"Fagus_grandifolia",0,1,1,1
"Quercus","phellos","wind","pro","mono",21,"",3.5,"","intolerant",37,"Quercus_phellos",1,1,1,0
"Quercus","nuttallii","wind","syn","mono",11.5,"",3.5,"","intolerant",37,"Quercus_nuttallii",0,1,1,0
"Quercus","laurifolia","wind","pro","mono",21,"",2.5,"","tolerant",21,"Quercus_laurifolia",1,1,1,1
"Quercus","velutina","wind","pro/syn","mono",21,"",4.5,"","medium_tolerant",24,"Quercus_velutina",1,1,1,1
"Quercus","rubra","wind","pro/syn","mono",21,"",4.5,"","medium_tolerant",30,"Quercus_rubra",1,1,1,1
"Quercus","bicolor","wind","syn","mono",9.5,"",5.5,"","medium_tolerant",23,"Quercus_bicolor",0,1,1,1
"Quercus","michauxii","wind","syn","mono",9.5,"",4.5,"","intolerant",30.5,"Quercus_michauxii",0,1,1,0
"Quercus","lyrata","wind","syn","mono",9.5,"",4.5,"","medium_tolerant",27,"Quercus_lyrata",0,1,1,1
"Quercus","garryana","wind","syn","mono",9.5,"",4.5,"","intolerant",27,"Quercus_garryana",0,1,1,0
"Quercus","stellata","wind","syn","mono",10,"",5,"north","intolerant",18.3,"Quercus_stellata",0,1,1,0
"Quercus","macrocarpa","wind","ser","mono",9.5,"",6.5,"north","medium_tolerant",30,"Quercus_macrocarpa",0,1,1,1
"Quercus","alba","wind","syn","mono",9.5,"",4,"","medium_tolerant",30,"Quercus_alba",0,1,1,1
"Carya","laciniosa","wind","ser","mono",10,"",5,"","tolerant",40,"Carya_laciniosa",0,1,1,1
"Carya","aquatica","wind","syn","mono",11,"",4.5,"","medium_tolerant",33.5,"Carya_aquatica",0,1,1,1
"Carya","ovata","wind","syn/ser","mono",10.5,"",6,"north","medium_tolerant",24,"Carya_ovata",0,1,1,1
"Carya","myristiciformis","wind","syn","mono",10.5,"",4.5,"","intolerant",30,"Carya_myristiciformis",0,1,1,0
"Juglans","cinerea","insect","syn","",9.5,"",5,"","intolerant",30,"Juglans_cinerea",0,0,1,0
"Juglans","nigra","wind","syn","mono",10,"",6,"north","intolerant",37,"Juglans_nigra",0,1,1,0
"Ostrya","virginiana","wind","syn","mono",9,"range",6,"north","tolerant",12,"Ostrya_virginiana",0,1,1,1
"Betula","alleghaniensis","wind","syn","mono",9.5,"",5.5,"","medium_tolerant",30.5,"Betula_alleghaniensis",0,1,1,1
"Betula","lenta","wind","syn","mono",10,"",4.5,"","intolerant",24,"Betula_lenta",0,1,1,0
"Betula","nigra","wind","syn","mono",5.5,"",4.5,"","intolerant",24.4,"Betula_nigra",0,1,0,0
"Ulmus","thomasii","wind","pro","perfect",5.5,"",4,"","medium_tolerant",27,"Ulmus_thomasii",1,1,0,1
"Ulmus","americana","wind","pro","perfect",4.5,"range",3.5,"range","medium_tolerant",38,"Ulmus_americana",1,1,0,1
"Ulmus","alata","wind","pro","perfect",4,"",3.5,"","tolerant",15,"Ulmus_alata",1,1,0,1
"Ulmus","rubra","wind","pro","perfect",5,"",3.5,"","tolerant",21.3,"Ulmus_rubra",1,1,0,1
"Maclura","pomifera","wind","ser","dio",9.5,"",5,"","intolerant",9,"Maclura_pomifera",0,1,1,0
"Prunus","serotina","insect","syn","perfect",8.5,"allegheny",5,"","intolerant",25,"Prunus_serotina",0,0,0,0
"Prunus","pensylvanica","insect","syn","perfect",7,"",5,"","intolerant",24,"Prunus_pensylvanica",0,0,0,0
"Gleditsia","triacanthos","insect","syn","polygamo-dio",10.5,"",6,"north","intolerant",24,"Gleditsia_triacanthos",0,0,1,0
"Robinia","pseudoacacia","insect","ser","perect",12.5,"",5.5,"","intolerant",18,"Robinia_pseudoacacia",0,0,1,0
"Cornus","florida","insect","pro","",9.5,"",5,"north","tolerant",12,"Cornus_florida",1,0,1,1
"Nyssa","ogeche","insect","ser","polygamo-dio",11.5,"",4,"","intolerant",10.7,"Nyssa_ogeche",0,0,1,0
"Nyssa","aquatica","ambo","pro/syn","polygamo-dio",10.5,"",3.5,"","intolerant",23,"Nyssa_aquatica",1,0,1,0
"Diospyros","virginiana","insect","syn","dio",10,"",4.5,"","tolerant",18,"Diospyros_virginiana",0,0,1,1
"Gordonia","lasianthus","insect","ser","",10.5,"",6.5,"","tolerant",6.5,"Gordonia_lasianthus",0,0,1,1
"Halesia","carolina","insect","syn","perfect",12,"",5,"","tolerant",12,"Halesia_carolina",0,0,1,1
"Fraxinus","profunda","wind","pro","dio",11,"",4.5,"","medium_tolerant",40,"Fraxinus_profunda",1,1,1,1
"Fraxinus","latifolia","wind","syn","dio",8.5,"",4.5,"","medium_tolerant",24,"Fraxinus_latifolia",0,1,0,1
"Fraxinus","pensylvanica","wind","pro/syn","dio",9.5,"",4.5,"north","tolerant",18,"Fraxinus_pennsylvanica",1,1,1,1
"Fraxinus","americana","wind","pro/syn","dio",10,"",4.5,"","intolerant",27,"Fraxinus_americana",1,1,1,0
"Fraxinus","nigra","wind","pro/syn","polygamous",8.5,"",5.5,"","intolerant",21,"Fraxinus_nigra",1,1,0,0
