species,inflor_high,FLS,meanpdsi,FLSnum,specificEpithet
americana,5,before/with,-0.160191514,3,americana
andersonii,2,with,-0.223257614,2,andersonii
angustifolia,4,before/with,-0.311393019,3,angustifolia
armeniaca,1,before,-0.051913043,4,armeniaca
avium,3,with,-0.019084133,2,avium
caroliniana,30,before,-0.397435155,4,caroliniana
cerasifera,2,before,-0.16862996,4,cerasifera
cerasus,4,with,-0.079156298,2,cerasus
domestica,2,before/with,-0.093398221,3,domestica
dulcis,2,before,-0.117264155,4,dulcis
emarginata,12,with,-0.043042234,2,emarginata
eremophila,2,with,0.057750247,2,eremophila
fasciculata,2,with,-0.041770971,2,fasciculata
fremontii,3,with,0.09703279,2,fremontii
glandulosa,2,with,-0.234063642,2,glandulosa
havardii,1,with,0.280479968,2,havardii
laurocerasus,32,before,-0.22595166,4,laurocerasus
lusitanica,100,after,-0.183917238,1,lusitanica
mahaleb,10,with,-0.102371955,2,mahaleb
maritima,4,before,0.025686967,4,maritima
mexicana,5,before,-0.294554967,4,mexicana
minutiflora,1,with,0.118367076,2,minutiflora
myrtifolia,30,before,-0.197399807,4,myrtifolia
padus,50,after,-0.003838093,1,padus
pensylvanica,8,with,-0.083208779,2,pensylvanica
persica,2,before,-0.205293174,4,persica
serotina,90,after,-0.207596537,1,serotina
spinosa,2,before,-0.071204757,4,spinosa
subcordata,5,with,-0.110699305,2,subcordata
texana,2,before/with,0.050796164,3,texana
tomentosa,2,before/with,-0.124819097,3,tomentosa
virginiana,64,after,-0.060705543,1,virginiana