Family,name,fruit_size,flower_local,xylem_anatomy,flowering_type,seed_mass,moist_use,
Smilaceae,Smilax_rotundifolia,,lateral,,,23.69,M,
Lauraceae,Lindera_benzoin,,lateral,5,,103,M,
Lauraceae,Sassafras_albidum,1,lateral,3,,79,L,
Magnoliaceae,Liriodendron_tulipifera,6.5,terminal,5,,57.2,M,
Annonanceae,Asimina_triloba,8.5,lateral,3,ram,847,M,
Platanaceae,Platanus_occidentalis,2.5,lateral,5,,2.85,H,
Ranunculaceae,Clematis_virginiana,,lateral,3,,3,M,
Hammamelidaceae,Liquidambar_styraciflua,4,lateral,5,,5,H,
Hammamelidaceae,Hamamelis_virginiana,1.25,lateral,5,,108.32,M,
Grossulariaceae,Ribes_lacustre,,lateral,4,,0.92,M,*
Grossulariaceae,Ribes_triste,,lateral,4,,,M,
Grossulariaceae,Ribes_americanum,,lateral,4,,1.2,M,*
Vitaceae,Parthenocissus_tricuspidata,,lateral,4,,23.5,H,
Vitaceae,Parthenocissus_quinquefolia,,terminal,4,,25.2,L,
Vitaceae,Vitis_aestivalis,,lateral,4,,36.225,M,
Vitaceae,Vitis_riparia,,lateral,4,,79,M,
Malvaceae,Tilia_americana,0.006,lateral,5,,108.1,M,
Malvaceae,Tilia_cordata,0.006,lateral,5,,34,M,
Anacardiaceae,Rhus_glabra,0.0035,terminal,4,,8.8,L,
Sapindaceae,Aesculus_glabra,2.5,terminal,5,,6701,M,
Sapindaceae,Acer_spicatum,1.25,terminal,5,,23.2,M,
Sapindaceae,Acer_platanoides,4.5,lateral,5,,125.5,M,
Sapindaceae,Acer_pensylvanicum,2,lateral,5,,37.3,L,
Sapindaceae,Acer_negundo,3.5,lateral,5,,36,M,
Sapindaceae,Acer_saccharinum,4.5,lateral,5,,201.5,M,
Sapindaceae,Acer_rubrum,7.5,lateral,5,,23.7,H,
Sapindaceae,Acer_saccharum,2.5,lateral,5,,55.2,M,
Simaroubaceae,Ailanthus_altissima,4.5,terminal,3,caul,29.4,M,
Rutaceae,Ptelea_trifoliata,,terminal,3,,21.5,H,
Celastraceae,Celastrus_scandens,,terminal,,,16.5,H,
Hypericaceae,Hypericum_prolificum,,lateral,4,,0.1,H,
Salicaceae,Populus_heterophylla,,lateral,4,,3.01,H,
Salicaceae,Populus_deltoides,,lateral,4,,1.67,H,
Salicaceae,Populus_balsamifera,0.007,lateral,4,,0.24,H,
Salicaceae,Populus_nigra,,lateral,4,,1.12,H,
Salicaceae,Populus_grandidentata,0.006,lateral,4,,0.13,H,
Salicaceae,Populus_tremuloides,0.006,lateral,4,,0.1,H,
Salicaceae,Salix_humilis,,lateral,4,,0.161,H,
Salicaceae,Salix_candida,,lateral,4,,,H,
Salicaceae,Salix_nigra,0.004,lateral,4,,0.06,H,
Salicaceae,Salix_alba,0.005,lateral,4,,0.12,H,
Salicaceae,Salix_lucida,,lateral,4,,0.173,H,
Salicaceae,Salix_discolor,,lateral,4,,0.242,H,
Salicaceae,Salix_amygdaloides,0.006,lateral,4,,0.16,H,
Salicaceae,Salix_interior,,lateral,4,,0.041,H,*
Salicaceae,Salix_eriocephala,,lateral,4,,,H,
Salicaceae,Salix_bebbiana,,lateral,4,,0.18,H,
Fagaceae,Fagus_grandifolia,1.5,lateral,4,,266,M,
Fagaceae,Castanea_dentata,2.5,lateral,3,,3467.3,M,
Fagaceae,Quercus_coccinea,1.8,lateral,3,,1742,M,
Fagaceae,Quercus_muehlenbergii,1.6,lateral,3,,1192.17,M,
Fagaceae,Quercus_imbricaria,1.4,lateral,3,,1093.99,M,
Fagaceae,Quercus_shumardii,2.1,lateral,3,,4540.46,M,
Fagaceae,Quercus_palustris,1.3,lateral,3,,1087,H,
Fagaceae,Quercus_velutina,1.5,lateral,3,,1852,M,
Fagaceae,Quercus_rubra,2.5,lateral,3,,3143,M,
Fagaceae,Quercus_bicolor,2.5,lateral,3,,3459,H,
Fagaceae,Quercus_macrocarpa,2.3,lateral,3,,6145,M,
Fagaceae,Quercus_alba,1.7,lateral,3,,2997,M,
Myricaceae,Comptonia_peregrina,,lateral,,,,L,
Myricaceae,Myrica_gale,,lateral,4,,1.57,M,
Juglandaceae,Carya_laciniosa,5.7,lateral,4,,15141,H,
Juglandaceae,Carya_ovata,,lateral,3,,4401,M,
Juglandaceae,Carya_cordiformis,1.5,lateral,3,,2797.6,M,
Juglandaceae,Carya_glabra,2.5,lateral,3,,3502,M,
Juglandaceae,Juglans_cinerea,6,lateral,4,,14026,M,
Juglandaceae,Juglans_nigra,4.5,lateral,4,,11303,H,
Betulaceae,Alnus_alnobetula,,lateral,5,,0.5088,H,
Betulaceae,Alnus_incana,1.25,lateral,5,,0.5176,H,
Betulaceae,Alnus_glutinosa,1.5,lateral,5,,1.043,M,
Betulaceae,Corylus_americana,,lateral,5,,785.1,M,
Betulaceae,Corylus_cornuta,,lateral,5,,833.3,M,
Betulaceae,Ostrya_virginiana,0.006,lateral,5,,15.41,L,
Betulaceae,Carpinus_caroliniana,2,lateral,5,,26,M,
Betulaceae,Betula_alleghaniensis,3,lateral,5,,1,M,
Betulaceae,Betula_nigra,3.5,lateral,5,,1.24,H,
Betulaceae,Betula_pumila,,lateral,5,,0.5972,M,
Betulaceae,Betula_papyrifera,3.5,lateral,5,,0.3,H,
Betulaceae,Betula_pendula,3,lateral,5,,0.5,H,
Rhamnaceae,Frangula_alnus,,lateral,4,,20.6,M,
Rhamnaceae,Rhamnus_alnifolia,,lateral,4,,10.83,H,
Rhamnaceae,Ceanothus_americanus,,lateral,4,,3.49,L,
Elaeagnaceae,Elaeagnus_umbellata,,lateral,3,,19.3,M,
Elaeagnaceae,Shepherdia_canadensis,,lateral,3,,8.8959,M,
Ulmaceae,Ulmus_thomasii,1.6,lateral,3,,60.5,H,
Ulmaceae,Ulmus_americana,1.2,lateral,3,,5,H,
Ulmaceae,Ulmus_rubra,1.9,lateral,3,,9.98,H,
Ulmaceae,Ulmus_pumila,1.25,lateral,3,,5.9,M,
Cannabaceae,Celtis_occidentalis,1.5,lateral,3,,126.4,L,
Moraceae,Morus_alba,1.5,lateral,3,,7,L,
Moraceae,Morus_rubra,2,lateral,3,,1.5,M,
Moraceae,Maclura_pomifera,12,lateral,3,,32,M,
Rosaceae,Rubus_parviflorus,,lateral,5,,1,H,
Rosaceae,Rubus_occidentalis,,lateral,5,,1.41,M,
Rosaceae,Rubus_idaeus,,lateral,5,,1.4,H,*
Rosaceae,Rubus_allegheniensis,,lateral,5,,2.2,M,
Rosaceae,Rubus_hispidus,,lateral,5,,2.47,H,
Rosaceae,Rubus_flagellaris,,lateral,5,,3.25,H,
Rosaceae,Rosa_acicularis,,lateral,4,ram,10.93276,H,
Rosaceae,Rosa_palustris,,,4,,2.943,M,
Rosaceae,Rosa_carolina,,,4,,17,L,
Rosaceae,Spiraea_alba,,terminal,4,,0.8812,M,
Rosaceae,Spiraea_tomentosa,,terminal,4,,0.038,L,
Rosaceae,Prunus_nigra,2.5,lateral,4,,,M,*
Rosaceae,Prunus_serotina,0.0085,lateral,4,,83.9,M,
Rosaceae,Prunus_virginiana,0.007,lateral,4,,81.1,M,
Rosaceae,Prunus_pensylvanica,0.006,lateral,4,,43.5,M,
Rosaceae,Prunus_pumila,,lateral,4,,155.33,L,
Rosaceae,Prunus_americana,,lateral,4,,770,M,
Rosaceae,Amelanchier_sanguinea,,lateral,5,,5.4,M,
Rosaceae,Amelanchier_arborea,1,lateral,5,,5.65,M,
Rosaceae,Amelanchier_laevis,,lateral,5,,16.17,M,
Rosaceae,Crataegus_crus-galli,,,,,163.8,L,
Rosaceae,Malus_pumila,8.5,lateral,,,26.74,M,
Fabaceae,Cercis_canadensis,6.5,lateral,,,24.6,L,
Fabaceae,Gleditsia_triacanthos,35,lateral,,ram,168.6,M,
Fabaceae,Robinia_pseudoacacia,8.5,lateral,5,,19.2,M,
Cornaceae,Cornus_florida,,terminal,5,,102,L,
Cornaceae,Cornus_alternifolia,0.007,terminal,5,caul,50.6,M,
Cornaceae,Cornus_sericea,,terminal,5,,27.0963,H,
Cornaceae,Cornus_amomum,,terminal,5,,35.43,H,
Cornaceae,Cornus_foemina,,terminal,5,,28.2,M,
Cornaceae,Cornus_rugosa,,terminal,5,,46.382,L,
Nyssaceae,Nyssa_sylvatica,1,lateral,5,,140,N,
Ericaceae,Vaccinium_angustifolium,,lateral,5,,0.23,M,
Ericaceae,Vaccinium_ovalifolium,,lateral,5,,0.24,M,
Ericaceae,Gaylussacia_baccata,,lateral,4,,1.63,L,
Ericaceae,Vaccinium_corymbosum,,lateral,5,,0.4,M,
Aqufoliaceae,Ilex_verticillata,,lateral,4,,13.2,H,
Adoxaceae,Sambucus_canadensis,,terminal,4,,2.7,M,
Adoxaceae,Sambucus_racemosa,,terminal,4,,2.4,H,
Adoxaceae,Viburnum_acerifolium,,terminal,5,,28.5,M,
Adoxaceae,Viburnum_dentatum,,terminal,5,,39.3,M,*
Adoxaceae,Viburnum_rafinesquianum,,terminal,5,,,L,
Adoxaceae,Viburnum_lentago,,terminal,5,,75.95,M,
Caprifoliaceae,Symphoricarpos_albus,,lateral,4,,5.96,M,
Caprifoliaceae,Lonicera_tatarica,,lateral,4,,2.9,M,
Caprifoliaceae,Lonicera_maackii,,lateral,4,,3.06,M,
Rubiaceae,Cephalanthus_occidentalis,,terminal,4,,2.4,H,
Oleaceae,Fraxinus_profunda,5.5,lateral,3,,142.32,H,
Oleaceae,Fraxinus_pennsylvanica,3.75,lateral,3,,32.3,M,
Oleaceae,Fraxinus_americana,3.75,lateral,3,,37.3,H,
Oleaceae,Fraxinus_nigra,3.5,lateral,3,,55.3,H,
Oleaceae,Syringa_vulgaris,,terminal,3,,5.6,M,
Oleaceae,Ligustrum_vulgare,,terminal,4,,18.8,M,
Bignoniaceae,Catalpa_bignonioides,27.5,terminal,4,,24.4,L,
Bignoniaceae,Catalpa_speciosa,"37,5",terminal,4,,18.83,L,